Pan-Fried Zoodles with Sesame and Paneer,Asian,Low-Fat
ROKU TONIC,Indian,Beverage
Sweet 'N' Spicy Mushroom Fry,Asian,Kid-Friendly
Peanut Butter Choco-Cupcakes,British,Kid-Friendly
CHUNCHI PATRA PITHA,Indian,Vegetarian
SWEET POTATO BAKED YOGHURT,Indian,Restaurants
Tawa fried paneer,Indian,Vegetarian
Vanillekipfer Cookies,Indian,Vegetarian
Bread Pakoda,Indian,Vegetarian
Pahadi Bhuna Mutton Curry,Indian,Non-Vegetarian
Cream Rolls,Indian,Vegetarian
Ooty Pumpkin Pie,Indian,Non-Vegetarian
Apple Cobbler,Indian,Vegetarian
Railway Mutton Curry,Indian,Non-Vegetarian
Home-Style Dahi Machcha,Indian,Non-Vegetarian
Sulemani Chai,Indian,Vegetarian
BLUEBERRY PHIRNI,Indian,Vegetarian
Kunafa Recipe,Indian,Vegetarian
Dahi Gujiya,Indian,Vegetarian
MIXED FRUIT GUJJIAS,Indian,Vegetarian
SWEET KACHORIS,Indian,Vegetarian
OATS AND PEANUT LADDOOS,Indian,Vegetarian
Tandoori Salmon,Indian,Non-Vegetarian
Aloo Tamatar Sabzi (Potato and Tomato side),Indian,Vegetarian
Lime Pickle in Sweet Oil,Indian,Vegetarian
Til Poli,Indian,Vegetarian
Shahi Paneer with Cashew Nuts,Indian,Vegetarian
Jain Chole,Indian,Vegetarian
Lauki Koftas Curry without Onion,Indian,Vegetarian
Guava Creamy,Indian,Vegetarian
Veg Noodle Burger,Indian,Vegetarian
Salmon Spread,Continental,Kid-Friendly
Whipped Mango Ice-cream,Indian,Kid-Friendly
Tomato Shallots Chutney,Indian,Vegetarian
Creamy Prawn Risotto,Italian,Non-Vegetarian
Prawn Risotto,Italian,Non-Vegetarian
Chilli Paneer Balls,Indo-Chinese,Vegetarian
Slow-cooked Dal Makhni,Indian,Vegetarian
Shrimp Fried Rice with Vegetables,Thai,Non-Vegetarian
Egg Curry in Coconut Masala,Indian,Non-Vegetarian
Chicken Curry with Sour Cream,Indian,Non-Vegetarian
Coconut Chutney with Red Chillies,Indian,Vegetarian
Indian-style Mushrooms,Indian,Vegetarian
Brinjal With Coconut Masala,Indian,Vegetarian
Christmas Cake with Rum-soaked fruit,American,Festive
Appam with Jaggery,Indian,Vegetarian
Angel of Peace,Indian,Vegetarian
Ambot Tik,Indian,Non-Vegetarian
Grilled Dahi Chicken,Indian,Non-Vegetarian
Akoori (Masala Scrambled Eggs),Indian,Non-Vegetarian
Boneless Chicken Delight,Indian,Non-Vegetarian
Chicken and Almond Soup,Indian,Non-Vegetarian
Dhaniya Chicken,Indian,Non-Vegetarian
Bottle Gourd (Lauki) Kheer,Indian,Kid-Friendly
Apple Cinnamon Pancakes,Anglo-Indian,Kid-Friendly
Apple Banana cupcakes,Continental,Kid-Friendly
Aloo Chips Chaat,Indian,Kid-Friendly
Amla Candy,Indian,Kid-Friendly
Pineapple Jam Crumble,Indian,Kid-Friendly
Chilli Noodle and Cashew Stir-Fry,Chinese,Vegetarian
Green Peas Vada,Indian,Kid-Friendly
Instant rava Idli,Indian,Vegetarian
Apple Orange Icecream Flan,Continental,Kid-Friendly
Special Vada Pav,Indian,Vegetarian
Methi Thepla,Indian,Vegetarian
Ammini Kozhakattai,Indian,Kid-Friendly
Anglo-Indian Steamroller Chicken,Anglo-Indian,Non-Vegetarian
Almond Brandy Cake,Anglo-Indian,Festive
Arhar Ki Dal,Indian,Kid-Friendly
Almond cake,American,Kid-Friendly
South Indian Mutton Curry,Indian,Non-Vegetarian
Apple Pumpkin Muffins,American,Kid-Friendly
Ice Halwa,Indian,Festive
Chikki Jam Roll for Kids,Indian,Kid-Friendly
Amla Sabzi,Indian,Vegetarian
Hawaian Potato Salad,Continental,Low-Calorie
Bitter gourd curry,Indian,Vegetarian
Sweet Potato Jamun with almonds,Indian,Kid-Friendly
Spinach in Curd Raita,Indian,Vegetarian
Indian Paneer Pasanda,Indian,Kid-Friendly
Easy Pepper rasam,Indian,Vegetarian
Aloo Jeera Raita,Indian,Vegetarian
Aloo ka bomb,Indian,Kid-Friendly
Apple Pie,Continental,Festive
Apple Cobbler,Indian,Festive
