,recipe_name,cuisine,diet
0,Pan-Fried Zoodles with Sesame and Paneer,Asian,Low-Fat
1,ROKU TONIC,Indian,Beverage
2,Sweet 'N' Spicy Mushroom Fry,Asian,Kid-Friendly
3,Peanut Butter Choco-Cupcakes,British,Kid-Friendly
4,CHUNCHI PATRA PITHA,Indian,Vegetarian
5,SWEET POTATO BAKED YOGHURT,Indian,Restaurants
6,Tawa fried paneer,Indian,Vegetarian
7,Vanillekipfer Cookies,Indian,Vegetarian
8,Bread Pakoda,Indian,Vegetarian
9,Pahadi Bhuna Mutton Curry,Indian,Non-Vegetarian
10,Cream Rolls,Indian,Vegetarian
11,Ooty Pumpkin Pie,Indian,Non-Vegetarian
12,Apple Cobbler,Indian,Vegetarian
13,Railway Mutton Curry,Indian,Non-Vegetarian
14,Home-Style Dahi Machcha,Indian,Non-Vegetarian
15,Sulemani Chai,Indian,Vegetarian
16,BLUEBERRY PHIRNI,Indian,Vegetarian
17,Kunafa Recipe,Indian,Vegetarian
18,Dahi Gujiya,Indian,Vegetarian
19,MIXED FRUIT GUJJIAS,Indian,Vegetarian
20,SWEET KACHORIS,Indian,Vegetarian
21,OATS AND PEANUT LADDOOS,Indian,Vegetarian
22,Tandoori Salmon,Indian,Non-Vegetarian
23,Aloo Tamatar Sabzi (Potato and Tomato side),Indian,Vegetarian
24,Lime Pickle in Sweet Oil,Indian,Vegetarian
25,Til Poli,Indian,Vegetarian
26,Shahi Paneer with Cashew Nuts,Indian,Vegetarian
27,Jain Chole,Indian,Vegetarian
28,Lauki Koftas Curry without Onion,Indian,Vegetarian
29,Guava Creamy,Indian,Vegetarian
30,Veg Noodle Burger,Indian,Vegetarian
31,Salmon Spread,Continental,Kid-Friendly
32,Whipped Mango Ice-cream,Indian,Kid-Friendly
33,Tomato Shallots Chutney,Indian,Vegetarian
34,Creamy Prawn Risotto,Italian,Non-Vegetarian
35,Prawn Risotto,Italian,Non-Vegetarian
36,Chilli Paneer Balls,Indo-Chinese,Vegetarian
37,Slow-cooked Dal Makhni,Indian,Vegetarian
38,Shrimp Fried Rice with Vegetables,Thai,Non-Vegetarian
39,Egg Curry in Coconut Masala,Indian,Non-Vegetarian
40,Chicken Curry with Sour Cream,Indian,Non-Vegetarian
41,Coconut Chutney with Red Chillies,Indian,Vegetarian
42,Indian-style Mushrooms,Indian,Vegetarian
43,Brinjal With Coconut Masala,Indian,Vegetarian
44,Christmas Cake with Rum-soaked fruit,American,Festive
45,Appam with Jaggery,Indian,Vegetarian
46,Angel of Peace,Indian,Vegetarian
47,Ambot Tik,Indian,Non-Vegetarian
48,Grilled Dahi Chicken,Indian,Non-Vegetarian
49,Akoori (Masala Scrambled Eggs),Indian,Non-Vegetarian
50,Boneless Chicken Delight,Indian,Non-Vegetarian
51,Chicken and Almond Soup,Indian,Non-Vegetarian
52,Dhaniya Chicken,Indian,Non-Vegetarian
53,Bottle Gourd (Lauki) Kheer,Indian,Kid-Friendly
54,Apple Cinnamon Pancakes,Anglo-Indian,Kid-Friendly
55,Apple Banana cupcakes,Continental,Kid-Friendly
56,Aloo Chips Chaat,Indian,Kid-Friendly
57,Amla Candy,Indian,Kid-Friendly
58,Pineapple Jam Crumble,Indian,Kid-Friendly
59,Chilli Noodle and Cashew Stir-Fry,Chinese,Vegetarian
60,Green Peas Vada,Indian,Kid-Friendly
61,Instant rava Idli,Indian,Vegetarian
62,Apple Orange Icecream Flan,Continental,Kid-Friendly
63,Special Vada Pav,Indian,Vegetarian
64,Methi Thepla,Indian,Vegetarian
65,Ammini Kozhakattai,Indian,Kid-Friendly
66,Anglo-Indian Steamroller Chicken,Anglo-Indian,Non-Vegetarian
67,Almond Brandy Cake,Anglo-Indian,Festive
68,Arhar Ki Dal,Indian,Kid-Friendly
69,Almond cake,American,Kid-Friendly
70,South Indian Mutton Curry,Indian,Non-Vegetarian
71,Apple Pumpkin Muffins,American,Kid-Friendly
72,Ice Halwa,Indian,Festive
73,Chikki Jam Roll for Kids,Indian,Kid-Friendly
74,Amla Sabzi,Indian,Vegetarian
75,Hawaian Potato Salad,Continental,Low-Calorie
76,Bitter gourd curry,Indian,Vegetarian
77,Sweet Potato Jamun with almonds,Indian,Kid-Friendly
78,Spinach in Curd Raita,Indian,Vegetarian
79,Indian Paneer Pasanda,Indian,Kid-Friendly
80,Easy Pepper rasam,Indian,Vegetarian
81,Aloo Jeera Raita,Indian,Vegetarian
82,Aloo ka bomb,Indian,Kid-Friendly
83,Apple Pie,Continental,Festive
